"term_en","description_en","term_zh-CN","term_zh-TW"
"Circle of Inevitability","CANON - appears in the novel. Not open to translator preference. The sequel novel. Present only as the reference 空想之环 plays off.","宿命之环","宿命之環"
"COI Client","Mysterria's own term, translated in the novel's register. Keep the COI acronym - it is the mod's distributed name and how players find it.","COI 客户端","COI 客戶端"
"Fool","Pathway label (id: fool). Chinese names this route after its Sequence 9: 占卜家途径. Not the Sequence 0 deity. CANON - do not paraphrase. Chinese names this route after its Sequence 9 (占卜家途径), not its Sequence 0. 愚者 is the god at its summit - use deity-zh-CN for the Sequence 0 throne, never as the pathway label.","占卜家","占卜家"
"Fool (deity)","The Sequence 0 god at the summit of the Fool pathway - the throne, never the route's label. Used by the Ascension registry only.","愚者","愚者"
"Door","Pathway label (id: door). Chinese names this route after its Sequence 9: 学徒途径. Not the Sequence 0 deity. CANON - do not paraphrase. Chinese names this route after its Sequence 9 (学徒途径), not its Sequence 0. 门 is the god at its summit - use deity-zh-CN for the Sequence 0 throne, never as the pathway label.","学徒","學徒"
"Door (deity)","The Sequence 0 god at the summit of the Door pathway - the throne, never the route's label. Used by the Ascension registry only.","门","門"
"Error","Pathway label (id: error). Chinese names this route after its Sequence 9: 偷盗者途径. Not the Sequence 0 deity. CANON - do not paraphrase. Chinese names this route after its Sequence 9 (偷盗者途径), not its Sequence 0. 错误 is the god at its summit - use deity-zh-CN for the Sequence 0 throne, never as the pathway label.","偷盗者","偷盜者"
"Error (deity)","The Sequence 0 god at the summit of the Error pathway - the throne, never the route's label. Used by the Ascension registry only.","错误","錯誤"
"Visionary","Pathway label (id: visionary). Chinese names this route after its Sequence 9: 观众途径. Not the Sequence 0 deity. CANON - do not paraphrase. Chinese names this route after its Sequence 9 (观众途径), not its Sequence 0. 空想家 is the god at its summit - use deity-zh-CN for the Sequence 0 throne, never as the pathway label.","观众","觀眾"
"Visionary (deity)","The Sequence 0 god at the summit of the Visionary pathway - the throne, never the route's label. Used by the Ascension registry only.","空想家","空想家"
"Sun","Pathway label (id: sun). Chinese names this route after its Sequence 9: 歌颂者途径. Not the Sequence 0 deity. CANON - do not paraphrase. Chinese names this route after its Sequence 9 (歌颂者途径), not its Sequence 0. 太阳 is the god at its summit - use deity-zh-CN for the Sequence 0 throne, never as the pathway label.","歌颂者","歌頌者"
"Sun (deity)","The Sequence 0 god at the summit of the Sun pathway - the throne, never the route's label. Used by the Ascension registry only.","太阳","太陽"
"White Tower","Pathway label (id: tower). Chinese names this route after its Sequence 9: 阅读者途径. Not the Sequence 0 deity. CANON - do not paraphrase. Chinese names this route after its Sequence 9 (阅读者途径), not its Sequence 0. 白塔 is the god at its summit - use deity-zh-CN for the Sequence 0 throne, never as the pathway label.","阅读者","閱讀者"
"White Tower (deity)","The Sequence 0 god at the summit of the White Tower pathway - the throne, never the route's label. Used by the Ascension registry only.","白塔","白塔"
"Tyrant","Pathway label (id: tyrant). Chinese names this route after its Sequence 9: 水手途径. Not the Sequence 0 deity. CANON - do not paraphrase. Chinese names this route after its Sequence 9 (水手途径), not its Sequence 0. 暴君 is the god at its summit - use deity-zh-CN for the Sequence 0 throne, never as the pathway label.","水手","水手"
"Tyrant (deity)","The Sequence 0 god at the summit of the Tyrant pathway - the throne, never the route's label. Used by the Ascension registry only.","暴君","暴君"
"Hanged Man","Pathway label (id: hanged). Chinese names this route after its Sequence 9: 秘祈人途径. Not the Sequence 0 deity. CANON - do not paraphrase. Chinese names this route after its Sequence 9 (秘祈人途径), not its Sequence 0. 倒吊人 is the god at its summit - use deity-zh-CN for the Sequence 0 throne, never as the pathway label.","秘祈人","秘祈人"
"Hanged Man (deity)","The Sequence 0 god at the summit of the Hanged Man pathway - the throne, never the route's label. Used by the Ascension registry only.","倒吊人","倒吊人"
"Death","Pathway label (id: death). Chinese names this route after its Sequence 9: 收尸人途径. Not the Sequence 0 deity. CANON - do not paraphrase. Chinese names this route after its Sequence 9 (收尸人途径), not its Sequence 0. 死神 is the god at its summit - use deity-zh-CN for the Sequence 0 throne, never as the pathway label.","收尸人","收屍人"
"Death (deity)","The Sequence 0 god at the summit of the Death pathway - the throne, never the route's label. Used by the Ascension registry only.","死神","死神"
"Darkness","Pathway label (id: darkness). Chinese names this route after its Sequence 9: 不眠者途径. Not the Sequence 0 deity. CANON - do not paraphrase. Chinese names this route after its Sequence 9 (不眠者途径), not its Sequence 0. 黑暗 is the god at its summit - use deity-zh-CN for the Sequence 0 throne, never as the pathway label.","不眠者","不眠者"
"Darkness (deity)","The Sequence 0 god at the summit of the Darkness pathway - the throne, never the route's label. Used by the Ascension registry only.","黑暗","黑暗"
"Twilight Giant","Pathway label (id: giant). Chinese names this route after its Sequence 9: 战士途径. Not the Sequence 0 deity. CANON - do not paraphrase. Chinese names this route after its Sequence 9 (战士途径), not its Sequence 0. 黄昏巨人 is the god at its summit - use deity-zh-CN for the Sequence 0 throne, never as the pathway label.","战士","戰士"
"Twilight Giant (deity)","The Sequence 0 god at the summit of the Twilight Giant pathway - the throne, never the route's label. Used by the Ascension registry only.","黄昏巨人","黃昏巨人"
"Red Priest","Pathway label (id: priest). Chinese names this route after its Sequence 9: 猎人途径. Not the Sequence 0 deity. CANON - do not paraphrase. Chinese names this route after its Sequence 9 (猎人途径), not its Sequence 0. 红祭司 is the god at its summit - use deity-zh-CN for the Sequence 0 throne, never as the pathway label.","猎人","獵人"
"Red Priest (deity)","The Sequence 0 god at the summit of the Red Priest pathway - the throne, never the route's label. Used by the Ascension registry only.","红祭司","紅祭司"
"Demoness","Pathway label (id: demoness). Chinese names this route after its Sequence 9: 刺客途径. Not the Sequence 0 deity. CANON - do not paraphrase. Chinese names this route after its Sequence 9 (刺客途径), not its Sequence 0. 原初魔女 is the god at its summit - use deity-zh-CN for the Sequence 0 throne, never as the pathway label.","刺客","刺客"
"Demoness (deity)","The Sequence 0 god at the summit of the Demoness pathway - the throne, never the route's label. Used by the Ascension registry only.","原初魔女","原初魔女"
"Mother","Pathway label (id: mother). Chinese names this route after its Sequence 9: 耕种者途径. Not the Sequence 0 deity. CANON - do not paraphrase. Chinese names this route after its Sequence 9 (耕种者途径), not its Sequence 0. 母亲 is the god at its summit - use deity-zh-CN for the Sequence 0 throne, never as the pathway label.","耕种者","耕種者"
"Mother (deity)","The Sequence 0 god at the summit of the Mother pathway - the throne, never the route's label. Used by the Ascension registry only.","母亲","母親"
"Moon","Pathway label (id: moon). Chinese names this route after its Sequence 9: 药师途径. Not the Sequence 0 deity. CANON - do not paraphrase. Chinese names this route after its Sequence 9 (药师途径), not its Sequence 0. 月亮 is the god at its summit - use deity-zh-CN for the Sequence 0 throne, never as the pathway label.","药师","藥師"
"Moon (deity)","The Sequence 0 god at the summit of the Moon pathway - the throne, never the route's label. Used by the Ascension registry only.","月亮","月亮"
"Black Emperor","Pathway label (id: emperor). Chinese names this route after its Sequence 9: 律师途径. Not the Sequence 0 deity. CANON - do not paraphrase. Chinese names this route after its Sequence 9 (律师途径), not its Sequence 0. 黑皇帝 is the god at its summit - use deity-zh-CN for the Sequence 0 throne, never as the pathway label.","律师","律師"
"Black Emperor (deity)","The Sequence 0 god at the summit of the Black Emperor pathway - the throne, never the route's label. Used by the Ascension registry only.","黑皇帝","黑皇帝"
"Justiciar","Pathway label (id: justiciar). Chinese names this route after its Sequence 9: 仲裁人途径. Not the Sequence 0 deity. CANON - do not paraphrase. Chinese names this route after its Sequence 9 (仲裁人途径), not its Sequence 0. 审判者 is the god at its summit - use deity-zh-CN for the Sequence 0 throne, never as the pathway label.","仲裁人","仲裁人"
"Justiciar (deity)","The Sequence 0 god at the summit of the Justiciar pathway - the throne, never the route's label. Used by the Ascension registry only.","审判者","審判者"
"Abyss","Pathway label (id: abyss). Chinese names this route after its Sequence 9: 罪犯途径. Not the Sequence 0 deity. CANON - do not paraphrase. Chinese names this route after its Sequence 9 (罪犯途径), not its Sequence 0. 深渊 is the god at its summit - use deity-zh-CN for the Sequence 0 throne, never as the pathway label.","罪犯","罪犯"
"Abyss (deity)","The Sequence 0 god at the summit of the Abyss pathway - the throne, never the route's label. Used by the Ascension registry only.","深渊","深淵"
"Chained","Pathway label (id: chained). Chinese names this route after its Sequence 9: 囚犯途径. Not the Sequence 0 deity. CANON - do not paraphrase. Chinese names this route after its Sequence 9 (囚犯途径), not its Sequence 0. 被缚者 is the god at its summit - use deity-zh-CN for the Sequence 0 throne, never as the pathway label.","囚犯","囚犯"
"Chained (deity)","The Sequence 0 god at the summit of the Chained pathway - the throne, never the route's label. Used by the Ascension registry only.","被缚者","被縛者"
"Hermit","Pathway label (id: hermit). Chinese names this route after its Sequence 9: 窥秘人途径. Not the Sequence 0 deity. CANON - do not paraphrase. Chinese names this route after its Sequence 9 (窥秘人途径), not its Sequence 0. 隐者 is the god at its summit - use deity-zh-CN for the Sequence 0 throne, never as the pathway label.","窥秘人","窺秘人"
"Hermit (deity)","The Sequence 0 god at the summit of the Hermit pathway - the throne, never the route's label. Used by the Ascension registry only.","隐者","隱者"
"Paragon","Pathway label (id: paragon). Chinese names this route after its Sequence 9: 通识者途径. Not the Sequence 0 deity. CANON - do not paraphrase. Chinese names this route after its Sequence 9 (通识者途径), not its Sequence 0. 完美者 is the god at its summit - use deity-zh-CN for the Sequence 0 throne, never as the pathway label.","通识者","通識者"
"Paragon (deity)","The Sequence 0 god at the summit of the Paragon pathway - the throne, never the route's label. Used by the Ascension registry only.","完美者","完美者"
"Wheel of Fortune","Pathway label (id: fortune). Chinese names this route after its Sequence 9: 怪物途径. Not the Sequence 0 deity. CANON - do not paraphrase. Chinese names this route after its Sequence 9 (怪物途径), not its Sequence 0. 命运之轮 is the god at its summit - use deity-zh-CN for the Sequence 0 throne, never as the pathway label.","怪物","怪物"
"Wheel of Fortune (deity)","The Sequence 0 god at the summit of the Wheel of Fortune pathway - the throne, never the route's label. Used by the Ascension registry only.","命运之轮","命運之輪"
"Eternal Aeon","Pathway label (id: aeon). Outer God (外神) route. The label is the Outer God's own name rather than the Sequence 9 rung, so a reader can tell an Outer God route from one of the 22 at a glance. Mysterria's English ladder is a direct translation of the canon Chinese one, rung for rung.","宿命之环","宿命之環"
"Chaos","Pathway label (id: chaos). Outer God (外神) route. The label is the Outer God's own name rather than the Sequence 9 rung, so a reader can tell an Outer God route from one of the 22 at a glance. Mysterria's English ladder is a direct translation of the canon Chinese one, rung for rung.","堕落母神","墮落母神"
"Chaos Mist","Pathway label (id: chaosmist). Outer God (外神) route. The label is the Outer God's own name rather than the Sequence 9 rung, so a reader can tell an Outer God route from one of the 22 at a glance. Mysterria's English ladder is a direct translation of the canon Chinese one, rung for rung.","混沌之子","混沌之子"
"Condenser","Pathway label (id: condenser). Outer God (外神) route. The label is the Outer God's own name rather than the Sequence 9 rung, so a reader can tell an Outer God route from one of the 22 at a glance. Mysterria's English ladder is a direct translation of the canon Chinese one, rung for rung.","超星主宰","超星主宰"
"Devouring","Pathway label (id: devouring). Outer God (外神) route. The label is the Outer God's own name rather than the Sequence 9 rung, so a reader can tell an Outer God route from one of the 22 at a glance. Mysterria's English ladder is a direct translation of the canon Chinese one, rung for rung.","原初饥饿","原初飢餓"
"Edict","Pathway label (id: edict). Outer God (外神) route. The label is the Outer God's own name rather than the Sequence 9 rung, so a reader can tell an Outer God route from one of the 22 at a glance. Mysterria's English ladder is a direct translation of the canon Chinese one, rung for rung.","命运女神","命運女神"
"Everlasting","Pathway label (id: everlasting). Outer God (外神) route. Canon covers only part of this ladder - see canonLadder. Rungs canon does not name are ordinary translation of Mysterria's own English.","不熄的呓语","不熄的囈語"
"Patriarch","Pathway label (id: patriarch). Outer God (外神) route. The label is the Outer God's own name rather than the Sequence 9 rung, so a reader can tell an Outer God route from one of the 22 at a glance. Mysterria's English ladder is a direct translation of the canon Chinese one, rung for rung.","欲望母树","慾望母樹"
"Second Law","Pathway label (id: secondlaw). Outer God (外神) route. Canon covers only part of this ladder - see canonLadder. Rungs canon does not name are ordinary translation of Mysterria's own English.","衰败君王","衰敗君王"
"Sublunary","Pathway label (id: sublunary). Outer God (外神) route. Canon covers only part of this ladder - see canonLadder. Rungs canon does not name are ordinary translation of Mysterria's own English.","高维俯视者","高維俯視者"
